[English Term]	[Arabic Translation]	[Sentiment Score]	[Positive Occurrence Count]	[Negative Occurrence Count]
crow	غراب	0.478	14	14
hsc	شهادة الثانوية العامة	0.478	1	1
organisms	الكائنات الحية	0.478	1	1
fanatic	متعصب	0.478	4	4
philosophy	فلسفة	0.478	19	19
blankly	بصراحة	0.478	1	1
rest	راحة	0.477	777	778
mrs	السيدة	0.474	239	240
#olympics	#دورة_الالعاب_الاولمبية	0.473	210	211
remembered	تذكرت	0.473	202	203
family	عائلة	0.473	1976	1985
healthy	صحي	0.472	160	161
park	منتزه	0.472	481	484
classes	فصول	0.472	350	352
test	اختبار	0.471	806	812
bowl	عاء	0.469	462	466
ready	استعداد	0.469	1188	1199
visit	زيارة	0.468	195	197
highly	جدا	0.467	87	88
flight	طيران	0.466	246	249
ton	طن	0.466	85	86
event	حدث	0.466	170	172
campus	حرم الجامعة	0.466	163	165
telly	إختصار لتلفزيون	0.465	79	80
sound	صوت	0.465	793	803
while	بينما	0.464	2472	2507
el	ايل	0.464	69	70
#hilarious	#جذل	0.463	68	69
yup	نعم	0.463	133	135
pairs	أزواج	0.463	67	68
billy	هراوة	0.463	65	66
overall	شامل	0.461	59	60
natural	طبيعي	0.461	118	120
work	عمل	0.461	7258	7385
theater	مسرح	0.46	55	56
walking	المشي	0.46	1022	1040
recording	تسجيل	0.459	51	52
mayo	مايو	0.459	52	53
opening	افتتاح	0.459	370	377
boyfriend	خليل	0.459	1221	1244
cast	صب	0.459	105	107
rack	رف	0.459	51	52
kat	كات	0.458	49	50
carter	سائق الكارة	0.458	50	51
flat	مسطحة	0.457	241	246
according	وفقا	0.457	93	95
poop	أنبوب	0.456	92	94
chats	دردشات	0.456	46	47
stays	الإقامة	0.456	91	93
christian	مسيحي	0.456	134	137
jonathan	جوناثان	0.455	43	44
joined	انضم	0.455	44	45
holidays	العطلات	0.455	176	180
summer	الصيف	0.455	1104	1130
closing	إغلاق	0.455	176	180
darling	محبوب	0.454	42	43
essay	مقال	0.454	247	253
found	وجدت	0.453	1193	1223
mcdonald	ماكدونالدز	0.453	201	206
rod	قضيب	0.453	39	40
sized	الحجم	0.453	39	40
ladies	السيدات	0.452	379	389
richard	ريتشارد	0.451	37	38
venue	مكان	0.451	37	38
solution	حل	0.451	36	37
bristol	بريستول	0.45	35	36
buds	براعم	0.45	35	36
throughout	طوال	0.45	70	72
style	أسلوب	0.45	393	404
floating	عائم	0.449	34	35
hehe	الكالينجيون	0.449	67	69
frame	إطار	0.449	34	35
steven	ستيفن	0.449	34	35
varsity	اسكواش	0.449	34	35
wakes	يستيقظ	0.449	68	70
drove	قاد	0.449	135	139
pals	الزملاء	0.448	33	34
wolf	الذئب	0.448	66	68
sunglasses	نظارة شمسية	0.448	65	67
announced	أعلن	0.447	32	33
z	ض	0.447	97	100
pancake	بان كيك	0.447	64	66
parking	موقف سيارات	0.446	273	282
#so	#هكذا	0.446	153	158
first	أولا	0.446	4242	4379
movies	أفلام	0.446	843	870
practicing	ممارسة	0.446	31	32
pee	بول	0.445	210	217
tickle	دغدغة	0.445	30	31
mcdonalds	ماكدونالدز	0.445	236	244
falls	السقوط	0.445	149	154
snoring	الشخير	0.445	90	93
sticks	العصي	0.445	90	93
sims	سيمز	0.445	30	31
buns	الكعك	0.445	30	31
art	فن	0.444	233	241
legs	الساقين	0.444	411	425
randy	صاخب	0.444	29	30
opener	فتاحة	0.444	29	30
downstairs	الطابق الأسفل	0.443	112	116
sing	غنى	0.443	638	661
meetings	اجتماعات	0.443	28	29
thoughts	أفكار	0.443	255	264
quilt	لحاف	0.443	28	29
bowls	السلطانيات	0.443	28	29
jones	جونز	0.443	142	147
writer	الكاتب	0.443	28	29
accomplish	إنجاز	0.443	28	29
fest	مهرجان	0.442	55	57
chairs	كراس	0.442	27	28
severe	شديدة	0.442	27	28
garage	كراج	0.442	83	86
shaving	حلق	0.442	54	56
boxing	الملاكمة	0.441	158	164
cone	مخروط	0.44	26	27
sheer	شفاف	0.44	26	27
cells	الخلايا	0.44	26	27
speaks	يتحدث	0.439	50	52
pepsi	بيبسي	0.439	50	52
twist	تحريف	0.439	50	52
brandy	براندي	0.439	25	26
liquor	الخمور	0.438	73	76
busted	ضبطت	0.438	74	77
ko	كو	0.438	74	77
colorado	كولورادو	0.438	49	51
coaster	السفينة	0.437	24	25
heal	شفاء	0.437	24	25
oral	شفهي	0.435	23	24
pot	وعاء	0.435	158	165
#your	#ك	0.435	23	24
entry	دخول	0.435	23	24
currently	حاليا	0.435	250	261
maryland	ميريلاند	0.435	23	24
#iwish	#اتمنى	0.435	23	24
eleven	أحد عشر	0.434	22	23
iron	حديد	0.434	89	93
leon	ليون	0.434	22	23
performing	أداء	0.433	65	68
glasses	نظارات	0.433	263	275
green	أخضر	0.433	565	591
stuck	عالق	0.432	688	720
unbelievable	لا يصدق	0.432	106	111
sooooo	سووو	0.432	128	134
sitting	جلسة	0.431	1235	1294
sync	مزامنة	0.431	21	22
smiley	مبتسم	0.431	21	22
julie	جولي	0.431	21	22
skin	بشرة	0.431	375	393
thurs	الخميس	0.431	21	22
medals	ميداليات	0.431	83	87
farmers	المزارعين	0.431	21	22
#that	#أن	0.431	21	22
downloading	تحميل	0.43	41	43
sand	رمل	0.43	82	86
nat	نات	0.429	20	21
hm	جلالة	0.429	20	21
mansion	قصر	0.429	20	21
gb	جيجابايت	0.429	159	167
snowball	كرة ثلجية	0.429	20	21
climb	تسلق	0.429	40	42
biz	بيز	0.429	20	21
hannah	هانا	0.429	60	63
globe	كرة	0.429	20	21
saga	الملحمة	0.429	20	21
german	ألماني	0.428	78	82
ra	را	0.427	19	20
editing	التحرير	0.427	38	40
mermaid	حورية البحر	0.427	19	20
travis	ترافيس	0.427	19	20
tues	الثلاثاء	0.427	19	20
hugging	عناق	0.427	19	20
insanely	بجنون	0.427	19	20
seek	بحث	0.427	38	40
hooked	مدمن مخدرات	0.427	57	60
patrick	باتريك	0.425	37	39
breakdown	انفصال	0.425	37	39
remix	ريمكس	0.425	92	97
arriving	وصوله	0.424	18	19
pink	وردي	0.424	473	499
ron	رون	0.424	36	38
os	عظم	0.424	18	19
summit	قمة	0.424	18	19
appeared	ظهر	0.424	18	19
biking	ركوب الدراجات	0.424	18	19
bicycle	دراجة	0.424	18	19
lighter	ولاعة	0.424	36	38
coldest	أبرد	0.424	18	19
meter	متر	0.424	18	19
babes	فاتنة	0.423	53	56
smelled	رائحة	0.422	35	37
pc	كمبيوتر	0.422	35	37
vocab	فوكب	0.421	17	18
marine	بحري	0.421	17	18
fizzy	خفاق	0.421	17	18
kayla	كايلا	0.421	17	18
tidying	الترتيب والتنظيم	0.421	17	18
hunting	الصيد	0.421	86	91
road	طريق	0.421	563	596
shook	اهتز	0.421	17	18
mu	مو	0.421	17	18
confident	واثق	0.421	51	54
judo	الجودو	0.421	17	18
legendary	أسطوري	0.421	17	18
gump	غامب	0.421	17	18
screen	شاشة	0.42	388	411
pre	قبل	0.42	183	194
winter	الشتاء	0.42	367	389
ray	شعاع	0.42	169	179
foot	قدم	0.42	384	407
rainbow	قوس قزح	0.419	66	70
stuffy	متجهم الوجه	0.419	33	35
condom	واق	0.419	49	52
pam	حزب الأصالة والمعاصرة	0.417	16	17
heals	يشفي	0.417	16	17
housemates	كلبة	0.417	16	17
forrest	فورست	0.417	16	17
es	وفاق	0.417	16	17
restless	ضيق الصدر	0.417	16	17
trig	علم حساب المثلثات	0.417	16	17
slices	شرائح	0.417	32	34
turf	حلبة سباق الخيل	0.417	16	17
softball	الكرة اللينة	0.416	63	67
mock	قلد	0.416	47	50
soul	روح	0.416	187	199
design	تصميم	0.414	76	81
triple	ثلاثي	0.414	76	81
skirt	تنورة	0.414	91	97
bra	حمالة صدر	0.414	379	404
band	فرقة	0.414	379	404
diver	غطاس	0.413	15	16
rolling	لف	0.413	135	144
finishes	التشطيبات	0.413	15	16
fever	حمى	0.413	120	128
nursery	حضانة	0.413	15	16
continued	واصل	0.413	15	16
shoving	تدافع	0.413	15	16
grey	اللون الرمادي	0.413	283	302
permanent	دائم	0.413	30	32
vip	كبار الشخصيات	0.413	30	32
gatorade	جاتوريد	0.413	30	32
and	و	0.413	67834	72379
starting	بداية	0.413	740	790
flew	طار	0.411	43	46
boi	مجلس الاستثمار	0.409	28	30
straightening	استقامة	0.409	14	15
farewell	وداع	0.409	14	15
fruity	فاكهي	0.409	14	15
stain	وصمة	0.409	28	30
seventh	سابع	0.409	14	15
grapefruit	جريب فروت	0.409	14	15
dresser	مضمد	0.409	14	15
blink	غمز	0.409	42	45
confirmation	تأكيد	0.409	14	15
bushes	الشجيرات	0.409	14	15
rosie	روزي	0.409	14	15
travel	سفر	0.409	127	136
filled	متخم	0.409	153	164
slipping	الانزلاق	0.409	28	30
andrews	اندروز	0.409	14	15
maximum	أقصى	0.409	14	15
tying	ربط	0.409	14	15
tiger	نمر	0.408	55	59
profile	الملف الشخصي	0.407	217	233
danny	داني	0.407	82	88
bible	الكتاب المقدس	0.407	68	73
citizen	مواطن	0.406	27	29
along	على طول	0.406	307	330
drying	تجفيف	0.406	27	29
detail	التفاصيل	0.406	27	29
poker	لعبة البوكر	0.406	40	43
thanksgiving	عيد الشكر	0.405	264	284
hand	يد	0.405	820	882
pencil	قلم	0.405	53	57
door	باب	0.404	648	698
tae	تاي	0.404	26	28
led	الصمام	0.404	65	70
trout	سمك السلمون المرقط	0.404	13	14
island	جزيرة	0.404	131	141
providing	توفير	0.404	26	28
proceed	تقدم	0.404	13	14
simultaneously	معا	0.404	13	14
shuttle	مكوك	0.404	13	14
lecturer	محاضر	0.404	26	28
patiently	بصبر	0.404	13	14
blessings	بركات	0.404	39	42
bursting	انفجار	0.404	13	14
wardrobe	خزانة	0.403	64	69
mia	ميا	0.402	38	41
wooden	خشبي	0.401	25	27
volume	الصوت	0.401	50	54
cheer	هتاف	0.401	224	242
adam	آدم	0.401	137	148
menu	قائمة الطعام	0.401	50	54
neck	العنق	0.401	286	309
clear	واضح	0.4	234	253
olympics	دورة الالعاب الاولمبية	0.4	743	803
woods	الغابة	0.4	74	80
bailey	بيلي	0.4	37	40
award	جائزة	0.4	160	173
florida	فلوريدا	0.4	123	133
backpack	حقيبة ظهر	0.399	49	53
anxiety	قلق	0.399	61	66
mens	ملك الرجال	0.399	49	53
drag	سحب	0.399	98	106
alive	على قيد الحياة	0.399	208	225
craig	كريغ	0.399	61	66
memorize	حفظ	0.398	12	13
fin	الزعنفة	0.398	12	13
anderson	اندرسون	0.398	36	39
caleb	كاليب	0.398	12	13
vitamins	الفيتامينات	0.398	12	13
imagined	يتصور	0.398	24	26
gg	زز	0.398	12	13
throwback	ردة	0.398	24	26
spraying	رش	0.398	12	13
stared	يحدق	0.398	12	13
cheeks	الخدين	0.398	60	65
spoon	ملعقة	0.398	96	104
bolton	بولتون	0.398	24	26
submit	عرض	0.398	12	13
duck	بط	0.397	143	155
sleepy	نعسان	0.396	163	177
tommy	تومي	0.396	35	38
clutch	القابض	0.396	35	38
with	مع	0.396	26137	28380
cab	سيارة أجرة	0.396	70	76
shade	ظل	0.396	35	38
afc	الاتحاد الآسيوي	0.395	23	25
curb	كبح	0.395	23	25
rents	الإيجارات	0.395	23	25
forehead	جبين	0.395	58	63
exploded	انفجرت	0.395	23	25
rock	صخرة	0.394	378	411
medium	متوسط	0.393	34	37
babysit	ارع	0.393	45	49
slippers	شباشب	0.393	45	49
babe	فتاة	0.393	249	271
couple	زوجان	0.392	627	683
marcus	ماركوس	0.391	22	24
giggling	الضحك	0.391	11	12
blond	أشقر	0.391	11	12
spandex	ألياف لدنة	0.391	22	24
duncan	دنكان	0.391	11	12
fairytale	حكاية خيالية	0.391	11	12
rivalry	منافسة	0.391	11	12
appearances	مباراة	0.391	11	12
laser	الليزر	0.391	11	12
clogged	انسداد	0.391	11	12
fizz	أز	0.391	11	12
#kids	#أطفال	0.391	11	12
feathers	الريش	0.391	11	12
sixteen	ست عشرة	0.391	11	12
deed	عمل	0.391	11	12
#swerve	#انحرف	0.391	11	12
postman	ساعي البريد	0.391	11	12
accidental	عرضي	0.391	11	12
#bedtime	#وقت_النوم	0.391	22	24
retainers	الخدم	0.391	11	12
camden	كامدن	0.391	11	12
trolley	عربة	0.391	11	12
cert	سيرت	0.391	11	12
mushrooms	الفطر	0.391	22	24
moss	طحلب	0.391	11	12
growth	نمو	0.391	22	24
coop	قن الدجاج	0.391	11	12
actor	ممثل	0.391	55	60
snort	تذمر	0.391	11	12
lash	جلد	0.391	11	12
soccer	كرة القدم	0.391	387	422
golf	جولف	0.389	227	248
textbook	الكتاب المدرسي	0.388	32	35
plant	مصنع	0.388	32	35
means	الوسائل	0.388	637	697
com	كوم	0.388	32	35
packed	موضب	0.388	127	139
lipstick	أحمر الشفاه	0.387	94	103
flow	تدفق	0.387	115	126
passenger	راكب	0.387	21	23
south	جنوب	0.387	253	277
psychology	علم النفس	0.387	42	46
til	سمسم	0.387	441	483
eye	عين	0.387	558	611
body	هيئة	0.387	922	1010
express	التعبير	0.387	147	161
humour	فكاهة	0.386	31	34
mission	مهمة	0.386	62	68
pole	عمود	0.386	62	68
claire	كلير	0.386	31	34
sharks	أسماك القرش	0.386	31	34
goals	الأهداف	0.385	289	317
replay	إعادة	0.385	72	79
#crazy	#مجنون	0.385	72	79
africa	أفريقيا	0.385	103	113
emotion	عاطفة	0.385	41	45
world	عالم	0.384	2793	3067
song	أغنية	0.384	2082	2287
queer	عليل	0.383	10	11
brooke	بروك	0.383	20	22
mayonnaise	مايونيز	0.383	10	11
galore	وافر	0.383	20	22
#craving	#حنين	0.383	10	11
#wideawake	#مستيقظ_تماما	0.383	10	11
tyre	إطار العجلة	0.383	10	11
shells	قذائف	0.383	10	11
sci	الخيال العلمي	0.383	10	11
applying	تطبيق	0.383	30	33
machine	آلة	0.383	200	220
diddy	ديدي	0.383	10	11
heartbeat	نبض القلب	0.383	20	22
dent	دنت	0.383	10	11
cartoons	الرسوم	0.383	20	22
responds	يستجيب	0.383	10	11
lollipop	مصاصة	0.383	10	11
toss	قرعة	0.383	30	33
laps	لفات	0.383	10	11
#lastnight	#ليلة_أمس	0.383	10	11
lo	لو	0.383	30	33
hong	هونغ	0.383	10	11
applaud	نشيد	0.383	10	11
podium	منصة	0.383	10	11
stunned	مذهول	0.383	10	11
variety	تشكيلة	0.383	20	22
greyhound	السلوقي كلب الصيد	0.383	10	11
brought	جلبت	0.381	335	369
driving	قيادة	0.381	745	821
brady	برادي	0.381	49	54
plenty	وفرة	0.381	79	87
central	مركزي	0.381	88	97
puked	متقيأ	0.38	39	43
exchange	تبادل	0.38	39	43
burping	التجشؤ	0.38	29	32
wrapped	مغطى	0.38	136	150
squeeze	ضغط	0.38	29	32
scarf	وشاح	0.38	68	75
favorites	المفضلة	0.38	39	43
lifetime	حياة	0.379	77	85
damaged	التالفة	0.378	19	21
plans	خطط	0.378	334	369
premium	علاوة	0.378	19	21
sally	سالي	0.378	19	21
mamma	ثدي	0.378	19	21
mixed	مختلط	0.377	151	167
lucky	محظوظ	0.377	357	395
moods	المزاجية	0.377	47	52
cold	برد	0.377	1916	2119
jim	جيم	0.377	75	83
pies	فطائر	0.377	47	52
range	نطاق	0.376	84	93
required	مطلوب	0.376	28	31
lauren	لورين	0.376	84	93
australia	أستراليا	0.376	93	103
cameron	كاميرون	0.375	46	51
lip	شفة	0.375	203	225
named	اسمه	0.375	139	154
wait	انتظر	0.375	2487	2758
polar	قطبي	0.375	37	41
supply	تزويد	0.375	46	51
describe	وصف	0.374	246	273
speeches	خطب	0.373	9	10
executive	تنفيذي	0.373	9	10
accessory	ملحق	0.373	9	10
res	الدقة	0.373	9	10
ons	إضافات	0.373	9	10
scouting	استطلاع	0.373	9	10
angus	انجوس	0.373	9	10
nigh	قريبا	0.373	9	10
elevators	المصاعد	0.373	9	10
patties	فطائر	0.373	9	10
uptown	الجزء الأعلى من المدينة	0.373	9	10
reception	استقبال	0.373	45	50
designers	المصممين	0.373	9	10
date	تاريخ	0.373	697	774
effective	فعال	0.373	18	20
deputy	النائب	0.373	9	10
revenge	انتقام	0.373	45	50
heroes	الأبطال	0.373	18	20
travelling	مسافر	0.373	45	50
tims	تيمز	0.373	9	10
expectations	توقعات	0.373	54	60
safari	رحلات السفاري	0.373	9	10
homer	هوميروس	0.373	9	10
huntington	هنتنغتون	0.373	9	10
#films	#أفلام	0.373	9	10
unlocked	مقفلة	0.373	9	10
parks	الحدائق	0.373	18	20
biology	علم الاحياء	0.373	90	100
honour	شرف	0.373	18	20
valet	خادم	0.373	9	10
kite	طائرة ورقية	0.373	9	10
peacock	الطاووس	0.373	9	10
chooses	يختار	0.373	27	30
races	سباقات	0.373	54	60
outcome	نتيجة	0.373	27	30
mormon	المورمون	0.373	9	10
brightest	ألمع	0.373	9	10
kilt	تنورة	0.373	9	10
side	جانب	0.372	985	1095
thighs	الفخذين	0.37	35	39
appt	إشارات	0.37	35	39
lemon	ليمون	0.37	149	166
tent	خيمة	0.37	35	39
scheduled	المقرر	0.369	26	29
upstairs	الطابق العلوي	0.369	87	97
potentially	يحتمل أن تكون	0.369	26	29
brand	علامة تجارية	0.369	251	280
learning	تعلم	0.369	139	155
dressing	صلصة	0.368	146	163
purchase	شراء	0.368	69	77
smoked	مدخن	0.368	86	96
holy	مقدس	0.368	421	470
joys	أفراح	0.367	34	38
#basketball	#كرة_السلة	0.367	17	19
larry	لاري	0.367	34	38
heather	خلنج نبات	0.367	17	19
watering	دامع	0.367	17	19
george	جورج	0.367	145	162
focused	ركز	0.367	34	38
aisle	ممشى	0.367	17	19
uni	يوني	0.366	330	369
february	فبراير	0.366	59	66
moms	الامهات	0.365	277	310
geometry	علم الهندسة	0.365	25	28
fitted	تركيب	0.365	25	28
braces	الأقواس	0.365	67	75
nervous	عصبي	0.364	83	93
jay	جاي	0.364	124	139
packs	حزم	0.364	33	37
jade	يشم	0.364	33	37
record	سجل	0.363	312	350
open	فتح	0.362	918	1031
arms	أسلحة	0.362	220	247
free	حر	0.362	1107	1243
lab	مختبر	0.361	113	127
by	بواسطة	0.361	6112	6871
miller	طحان	0.361	97	109
tofu	التوفو	0.36	8	9
joins	ينضم	0.36	8	9
hits	مشاهدات	0.36	136	153
anticipated	كان متوقعا	0.36	8	9
alfie	الفى	0.36	8	9
lolo	لولو	0.36	8	9
develop	تطوير	0.36	16	18
chu	تشو	0.36	8	9
frames	إطارات	0.36	8	9
crust	القشرة	0.36	24	27
installation	تركيب	0.36	8	9
wiggle	تذبذب	0.36	8	9
walt	والت	0.36	8	9
sampling	أخذ العينات	0.36	8	9
layout	تصميم	0.36	8	9
hotdogs	نقانق	0.36	8	9
ontario	أونتاريو	0.36	8	9
#too	#جدا	0.36	24	27
avery	أفيري	0.36	8	9
shire	حصان إنكليزي	0.36	8	9
ng	نانوغرام	0.36	48	54
blaine	بلين	0.36	8	9
teller	راوي	0.36	8	9
tnt	تي ان تي	0.36	8	9
phonecall	اتصال هاتفي	0.36	8	9
collins	كولنز	0.36	16	18
#everyone	#كل_شخص	0.36	8	9
definatly	بالتأكيد	0.36	8	9
port	ميناء	0.36	40	45
rammed	صدم	0.36	8	9
inbetween	ما بين أثنين	0.36	8	9
stl	المحكمة الخاصة بلبنان	0.36	8	9
tore	مزق	0.36	24	27
marijuana	قنب هندي	0.36	24	27
dancin	راقص	0.36	8	9
dominate	سيطر	0.36	16	18
forte	موطن قوة	0.36	8	9
rican	ريكى	0.36	8	9
folded	مطوي	0.36	8	9
macbook	ماك بوك	0.36	32	36
quad	رباعية	0.36	24	27
hooks	السنانير	0.36	8	9
balanced	متوازن	0.36	8	9
formed	شكلت	0.36	8	9
tilt	إمالة	0.36	8	9
sp	س	0.36	8	9
roulette	روليت	0.36	8	9
dodgeball	كرة المناورة	0.36	8	9
reebok	ريبوك	0.36	8	9
flexible	مرن	0.36	8	9
preparation	إعداد	0.36	16	18
shopper	المتسوق	0.36	8	9
licks	يلعق	0.36	8	9
sermon	خطبة	0.36	8	9
electricity	كهرباء	0.36	32	36
equality	مساواة	0.36	8	9
astonishing	مذهل	0.36	8	9
brothers	الاخوة	0.359	292	329
white	أبيض	0.359	1277	1438
few	قليل	0.359	1104	1244
#winter	#الشتاء	0.357	31	35
burp	تجشؤ	0.357	39	44
produced	أنتجت	0.357	31	35
steps	خطوات	0.357	78	88
craving	حنين	0.357	156	176
bands	العصابات	0.357	78	88
before	قبل	0.356	2887	3260
full	كامل	0.356	1387	1567
alcoholic	سكير	0.355	46	52
#olympic	#أولمبي	0.355	23	26
gals	بنات	0.355	23	26
entering	دخول	0.355	23	26
correction	تصحيح	0.355	23	26
purple	أرجواني	0.354	152	172
swift	سريع	0.354	355	402
decided	قررت	0.354	484	548
skill	مهارة	0.354	38	43
truck	شاحنة	0.353	262	297
versions	إصدارات	0.353	15	17
strings	سلاسل	0.353	30	34
long	طويل	0.353	2674	3031
warped	مشوه	0.353	15	17
ingredients	المكونات	0.353	15	17
kay	كاي	0.353	45	51
lava	حمم	0.353	15	17
live	يعيش	0.353	1621	1836
jenny	أنثي الطائر	0.353	15	17
holiday	عطلة	0.352	469	532
grind	طحن	0.352	67	76
afterwards	بعدئذ	0.352	52	59
spread	انتشار	0.352	97	110
product	المنتج	0.352	67	76
definition	تعريف	0.352	119	135
hip	ورك	0.352	112	127
path	مسار	0.351	59	67
simple	بسيط	0.351	185	210
eyed	العينين	0.351	37	42
bride	عروس	0.351	59	67
bringing	وبذلك	0.351	185	210
episodes	الحلقات	0.35	117	133
pokemon	البوكيمون	0.35	22	25
burnt	أحرق	0.35	147	167
carries	يحمل	0.35	22	25
oliver	أوليفر	0.35	22	25
hairs	الشعر	0.349	51	58
que	كيو	0.349	29	33
science	علم	0.349	131	149
creek	جدول	0.349	29	33
made	مصنوع	0.348	3139	3576
studying	دراسة	0.348	259	295
managed	تمكنت	0.348	230	262
well	حسنا	0.348	3623	4126
sleeps	ينام	0.348	36	41
cotton	قطن	0.347	50	57
austin	أوستن	0.347	57	65
gained	اكتسبت	0.347	50	57
leg	ساق	0.346	304	347
december	ديسمبر	0.346	135	154
ohhh	وجميلة	0.346	78	89
tune	لحن	0.345	134	153
raffle	السحب	0.344	7	8
outlet	مخرج	0.344	21	24
rico	ريكو	0.344	7	8
khakis	الكاكي	0.344	7	8
scrimmage	مشاجرة	0.344	14	16
log	سجل	0.344	56	64
ff	وما يليها	0.344	14	16
roundabout	طريق ملتوية	0.344	7	8
semesters	فصول دراسية	0.344	7	8
cigarette	سيجارة	0.344	112	128
beards	حاهم	0.344	7	8
#twilight	#الشفق	0.344	21	24
grin	ابتسامة	0.344	7	8
unpack	فضا	0.344	7	8
tame	كبح	0.344	7	8
shipped	شحن	0.344	14	16
exhibit	معرض	0.344	7	8
jeffrey	جيفري	0.344	7	8
prophet	نبي	0.344	7	8
#sober	#رصين	0.344	7	8
blinding	تعمية	0.344	7	8
rear	خلفي	0.344	21	24
nutshell	باختصار	0.344	7	8
asia	آسيا	0.344	14	16
transition	انتقال	0.344	14	16
twisting	لي	0.344	7	8
flown	جوا	0.344	7	8
beck	غدير	0.344	7	8
aladdin	علاء الدين	0.344	7	8
hispanic	ابيض	0.344	7	8
stag	ظبي	0.344	7	8
industrial	صناعي	0.344	7	8
resistance	مقاومة	0.344	7	8
drunkenly	ثمل	0.344	7	8
hammers	المطارق	0.344	7	8
tum	توم	0.344	7	8
hooper	هوبر	0.344	7	8
poppa	بوبا	0.344	7	8
#are	#هي	0.344	28	32
convenience	ملاءمة	0.344	7	8
demons	الشياطين	0.344	7	8
juan	خوان	0.344	14	16
stylist	حلاق	0.344	28	32
hammering	يدق	0.344	7	8
injection	حقن	0.344	7	8
nasa	وكالة ناسا	0.344	7	8
bumble	تلعثم	0.344	7	8
cardigan	سترة من صوف محبوك	0.344	21	24
plugs	المقابس	0.344	7	8
bashed	باشيد	0.344	7	8
grams	غرام	0.344	14	16
logs	السجلات	0.344	7	8
haw	ثمر الزعرور البرى	0.344	7	8
guaranteed	مضمون	0.344	28	32
#thuglife	#حياة_الكفاح	0.344	7	8
circle	دائرة	0.344	70	80
burger	برغر	0.344	224	256
habit	عادة	0.344	105	120
#charity	#مؤسسة_خيرية	0.344	7	8
stationary	ثابت	0.344	7	8
dispute	خلاف	0.344	7	8
mugged	سرقة	0.344	7	8
#awake	#استيقظ	0.344	7	8
lasting	دائم	0.344	14	16
millionth	مليون	0.344	7	8
cupboards	الخزائن	0.344	7	8
chore	عمل روتيني	0.344	7	8
nearest	الأقرب	0.344	14	16
timmy	تيمي	0.344	7	8
powerade	باوريد	0.344	7	8
cabinets	خزائن	0.344	7	8
ipads	لاب توب	0.344	7	8
working	عامل	0.343	1339	1533
smells	الروائح	0.343	526	602
eating	طعام	0.342	1453	1665
popped	برزت	0.342	62	71
experienced	ذوي الخبرة	0.341	68	78
lived	عاش	0.341	129	148
poster	الملصق	0.341	41	47
darker	قتامة	0.34	27	31
mexican	المكسيكي	0.34	108	124
toward	نحو	0.34	27	31
youtube	يوتيوب	0.34	209	240
middle	وسط	0.339	652	749
class	فئة	0.339	2206	2535
doctor	طبيب	0.339	208	239
funniest	تسلية	0.339	87	100
sheffield	شيفيلد	0.338	20	23
shrek	شريك	0.338	20	23
overwhelming	ساحق	0.338	20	23
murphy	ميرفي	0.338	20	23
rugby	الرجبي	0.338	146	168
france	فرنسا	0.337	79	91
hangover	مخلفات	0.337	316	364
sub	الفرعية	0.337	86	99
gym	نادي رياضي	0.337	802	923
bound	مقيد	0.337	79	91
film	فيلم	0.337	773	890
poured	صب	0.337	33	38
goodness	صلاح	0.336	118	136
potential	محتمل	0.336	72	83
lewis	رافعة الحجارة	0.336	105	121
shifts	التحولات	0.336	46	53
naturally	بالطبع	0.336	46	53
neighbor	الجيران	0.336	59	68
punches	اللكمات	0.335	13	15
sewing	خياطة	0.335	13	15
toughest	أصعب	0.335	13	15
refresh	تحديث	0.335	13	15
assists	يساعد	0.335	13	15
#hard	#الصعب	0.335	13	15
tanner	دباغ	0.335	13	15
cedar	الارز	0.335	13	15
pitch	رمية	0.335	312	360
circles	الدوائر	0.335	13	15
attendant	حاضر	0.335	13	15
matched	يقابل	0.335	13	15
karate	الكاراتيه	0.335	13	15
steve	ستيف	0.335	91	105
fruits	ثمار	0.335	13	15
motto	شعار	0.335	13	15
shawn	شون	0.335	13	15
graham	غراهام	0.333	45	52
thomas	توماس	0.333	77	89
glee	طرب	0.333	96	111
grinch	غرينش	0.333	32	37
ramen	رامين	0.332	51	59
veggie	الخضروات	0.331	19	22
plugged	مسدود	0.331	19	22
traffic	مرور	0.331	252	292
reviews	استعراض	0.331	19	22
meow	مواء	0.331	19	22
ninja	النينجا	0.331	19	22
video	فيديو	0.331	878	1017
sociology	علم الإجتماع	0.331	19	22
diary	مذكرات	0.33	44	51
today	اليوم	0.33	9757	11318
wherever	أينما	0.33	25	29
lennon	لينون	0.33	25	29
mornings	الصباح	0.33	94	109
staying	البقاء	0.33	333	386
freddie	فريدي	0.33	25	29
brown	بنى	0.33	471	546
beside	بجانب	0.329	87	101
papers	أوراق	0.329	87	101
finger	إصبع	0.329	298	346
definitely	قطعا	0.328	770	895
spotted	رصدت	0.328	37	43
colin	كولن	0.328	31	36
orange	البرتقالي	0.328	353	410
dinners	العشاء	0.328	31	36
brace	دعامة	0.328	31	36
chatting	الدردشة	0.327	43	50
singer	مطرب	0.327	92	107
water	ماء	0.327	1046	1217
goal	هدف	0.327	677	787
aim	هدف	0.327	43	50
dreams	أحلام	0.327	264	307
dream	حلم	0.326	911	1061
bleeding	نزيف	0.326	73	85
scratch	خدش	0.326	110	128
indian	هندي	0.325	145	169
bridge	جسر	0.325	97	113
latest	آخر	0.325	97	113
